"Name","Live Bytes","Live Objects"
"org.h2.value.ValueInt","2,304 B (0%)","144 (0%)"
"java.security.Provider$Service","2,296 B (0%)","41 (0%)"
"java.lang.invoke.BoundMethodHandle$Species_LL","2,280 B (0%)","57 (0%)"
"java.lang.ThreadLocal$ThreadLocalMap$Entry[]","2,256 B (0%)","21 (0%)"
"java.security.Permissions","2,208 B (0%)","92 (0%)"
"org.thymeleaf.engine.Attribute","2,208 B (0%)","46 (0%)"
"java.io.RandomAccessFile","2,208 B (0%)","69 (0%)"
"org.h2.expression.ExpressionColumn","2,208 B (0%)","46 (0%)"
"org.springframework.http.HttpStatus","2,176 B (0%)","68 (0%)"
"java.lang.reflect.Parameter[]","2,176 B (0%)","84 (0%)"
"sun.nio.fs.UnixFileKey","2,176 B (0%)","68 (0%)"
"sun.reflect.generics.tree.FormalTypeParameter","2,160 B (0%)","90 (0%)"
"com.sun.proxy.$Proxy1","2,160 B (0%)","135 (0%)"
"java.util.GregorianCalendar","2,128 B (0%)","19 (0%)"
